"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Mathematics","Fall",0,111,1
"Mathematics","Fall",1,131,1
"Mathematics","Fall",2,145,1
"Mathematics","Fall",3,157,1
"Mathematics","Fall",4,166,1
"Mathematics","Fall",5,174,1
"Mathematics","Fall",6,177,1
"Mathematics","Fall",7,180,1
"Mathematics","Fall",8,181,1
"Mathematics","Fall",9,180,1
"Mathematics","Fall",10,182,1
"Mathematics","Fall",11,184,1
"Mathematics","Fall",12,183,1
"Mathematics","Fall",0,114,2
"Mathematics","Fall",1,135,2
"Mathematics","Fall",2,148,2
"Mathematics","Fall",3,161,2
"Mathematics","Fall",4,170,2
"Mathematics","Fall",5,178,2
"Mathematics","Fall",6,182,2
"Mathematics","Fall",7,184,2
"Mathematics","Fall",8,186,2
"Mathematics","Fall",9,186,2
"Mathematics","Fall",10,188,2
"Mathematics","Fall",11,189,2
"Mathematics","Fall",12,189,2
"Mathematics","Fall",0,116,3
"Mathematics","Fall",1,137,3
"Mathematics","Fall",2,151,3
"Mathematics","Fall",3,163,3
"Mathematics","Fall",4,172,3
"Mathematics","Fall",5,181,3
"Mathematics","Fall",6,184,3
"Mathematics","Fall",7,187,3
"Mathematics","Fall",8,189,3
"Mathematics","Fall",9,189,3
"Mathematics","Fall",10,191,3
"Mathematics","Fall",11,193,3
"Mathematics","Fall",12,192,3
"Mathematics","Fall",0,118,4
"Mathematics","Fall",1,138,4
"Mathematics","Fall",2,152,4
"Mathematics","Fall",3,165,4
"Mathematics","Fall",4,174,4
"Mathematics","Fall",5,183,4
"Mathematics","Fall",6,187,4
"Mathematics","Fall",7,190,4
"Mathematics","Fall",8,192,4
"Mathematics","Fall",9,192,4
"Mathematics","Fall",10,194,4
"Mathematics","Fall",11,196,4
"Mathematics","Fall",12,195,4
"Mathematics","Fall",0,119,5
"Mathematics","Fall",1,140,5
"Mathematics","Fall",2,154,5
"Mathematics","Fall",3,166,5
"Mathematics","Fall",4,176,5
"Mathematics","Fall",5,184,5
"Mathematics","Fall",6,188,5
"Mathematics","Fall",7,192,5
"Mathematics","Fall",8,194,5
"Mathematics","Fall",9,194,5
"Mathematics","Fall",10,196,5
"Mathematics","Fall",11,198,5
"Mathematics","Fall",12,197,5
"Mathematics","Fall",0,120,6
"Mathematics","Fall",1,141,6
"Mathematics","Fall",2,155,6
"Mathematics","Fall",3,168,6
"Mathematics","Fall",4,177,6
"Mathematics","Fall",5,186,6
"Mathematics","Fall",6,190,6
"Mathematics","Fall",7,193,6
"Mathematics","Fall",8,195,6
"Mathematics","Fall",9,196,6
"Mathematics","Fall",10,198,6
"Mathematics","Fall",11,200,6
"Mathematics","Fall",12,199,6
"Mathematics","Fall",0,121,7
"Mathematics","Fall",1,142,7
"Mathematics","Fall",2,156,7
"Mathematics","Fall",3,169,7
"Mathematics","Fall",4,178,7
"Mathematics","Fall",5,187,7
"Mathematics","Fall",6,191,7
"Mathematics","Fall",7,195,7
"Mathematics","Fall",8,197,7
"Mathematics","Fall",9,197,7
"Mathematics","Fall",10,199,7
"Mathematics","Fall",11,201,7
"Mathematics","Fall",12,201,7
"Mathematics","Fall",0,122,8
"Mathematics","Fall",1,143,8
"Mathematics","Fall",2,157,8
"Mathematics","Fall",3,170,8
"Mathematics","Fall",4,179,8
"Mathematics","Fall",5,188,8
"Mathematics","Fall",6,192,8
"Mathematics","Fall",7,196,8
"Mathematics","Fall",8,198,8
"Mathematics","Fall",9,199,8
"Mathematics","Fall",10,201,8
"Mathematics","Fall",11,203,8
"Mathematics","Fall",12,203,8
"Mathematics","Fall",0,123,9
"Mathematics","Fall",1,143,9
"Mathematics","Fall",2,158,9
"Mathematics","Fall",3,170,9
"Mathematics","Fall",4,180,9
"Mathematics","Fall",5,189,9
"Mathematics","Fall",6,193,9
"Mathematics","Fall",7,197,9
"Mathematics","Fall",8,200,9
"Mathematics","Fall",9,200,9
"Mathematics","Fall",10,202,9
"Mathematics","Fall",11,204,9
"Mathematics","Fall",12,204,9
"Mathematics","Fall",0,124,10
"Mathematics","Fall",1,144,10
"Mathematics","Fall",2,158,10
"Mathematics","Fall",3,171,10
"Mathematics","Fall",4,181,10
"Mathematics","Fall",5,190,10
"Mathematics","Fall",6,194,10
"Mathematics","Fall",7,198,10
"Mathematics","Fall",8,201,10
"Mathematics","Fall",9,201,10
"Mathematics","Fall",10,203,10
"Mathematics","Fall",11,205,10
"Mathematics","Fall",12,205,10
"Mathematics","Fall",0,124,11
"Mathematics","Fall",1,145,11
"Mathematics","Fall",2,159,11
"Mathematics","Fall",3,172,11
"Mathematics","Fall",4,182,11
"Mathematics","Fall",5,191,11
"Mathematics","Fall",6,195,11
"Mathematics","Fall",7,199,11
"Mathematics","Fall",8,202,11
"Mathematics","Fall",9,202,11
"Mathematics","Fall",10,204,11
"Mathematics","Fall",11,206,11
"Mathematics","Fall",12,207,11
"Mathematics","Fall",0,125,12
"Mathematics","Fall",1,145,12
"Mathematics","Fall",2,160,12
"Mathematics","Fall",3,173,12
"Mathematics","Fall",4,183,12
"Mathematics","Fall",5,191,12
"Mathematics","Fall",6,196,12
"Mathematics","Fall",7,200,12
"Mathematics","Fall",8,203,12
"Mathematics","Fall",9,203,12
"Mathematics","Fall",10,205,12
"Mathematics","Fall",11,208,12
"Mathematics","Fall",12,208,12
"Mathematics","Fall",0,126,13
"Mathematics","Fall",1,146,13
"Mathematics","Fall",2,160,13
"Mathematics","Fall",3,173,13
"Mathematics","Fall",4,183,13
"Mathematics","Fall",5,192,13
"Mathematics","Fall",6,197,13
"Mathematics","Fall",7,201,13
"Mathematics","Fall",8,204,13
"Mathematics","Fall",9,204,13
"Mathematics","Fall",10,206,13
"Mathematics","Fall",11,209,13
"Mathematics","Fall",12,209,13
"Mathematics","Fall",0,126,14
"Mathematics","Fall",1,147,14
"Mathematics","Fall",2,161,14
"Mathematics","Fall",3,174,14
"Mathematics","Fall",4,184,14
"Mathematics","Fall",5,193,14
"Mathematics","Fall",6,197,14
"Mathematics","Fall",7,201,14
"Mathematics","Fall",8,204,14
"Mathematics","Fall",9,205,14
"Mathematics","Fall",10,207,14
"Mathematics","Fall",11,209,14
"Mathematics","Fall",12,210,14
"Mathematics","Fall",0,127,15
"Mathematics","Fall",1,147,15
"Mathematics","Fall",2,162,15
"Mathematics","Fall",3,175,15
"Mathematics","Fall",4,185,15
"Mathematics","Fall",5,193,15
"Mathematics","Fall",6,198,15
"Mathematics","Fall",7,202,15
"Mathematics","Fall",8,205,15
"Mathematics","Fall",9,206,15
"Mathematics","Fall",10,208,15
"Mathematics","Fall",11,210,15
"Mathematics","Fall",12,211,15
"Mathematics","Fall",0,127,16
"Mathematics","Fall",1,148,16
"Mathematics","Fall",2,162,16
"Mathematics","Fall",3,175,16
"Mathematics","Fall",4,185,16
"Mathematics","Fall",5,194,16
"Mathematics","Fall",6,199,16
"Mathematics","Fall",7,203,16
"Mathematics","Fall",8,206,16
"Mathematics","Fall",9,207,16
"Mathematics","Fall",10,209,16
"Mathematics","Fall",11,211,16
"Mathematics","Fall",12,212,16
"Mathematics","Fall",0,128,17
"Mathematics","Fall",1,148,17
"Mathematics","Fall",2,163,17
