"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Mathematics","Fall",7,224,65
"Mathematics","Fall",8,229,65
"Mathematics","Fall",9,232,65
"Mathematics","Fall",10,234,65
"Mathematics","Fall",11,237,65
"Mathematics","Fall",12,236,65
"Mathematics","Fall",0,148,70
"Mathematics","Fall",1,166,70
"Mathematics","Fall",2,181,70
"Mathematics","Fall",3,192,70
"Mathematics","Fall",4,205,70
"Mathematics","Fall",5,215,70
"Mathematics","Fall",6,219,70
"Mathematics","Fall",7,226,70
"Mathematics","Fall",8,232,70
"Mathematics","Fall",9,234,70
"Mathematics","Fall",10,237,70
"Mathematics","Fall",11,240,70
"Mathematics","Fall",12,239,70
"Mathematics","Fall",0,149,75
"Mathematics","Fall",1,168,75
"Mathematics","Fall",2,183,75
"Mathematics","Fall",3,195,75
"Mathematics","Fall",4,208,75
"Mathematics","Fall",5,217,75
"Mathematics","Fall",6,221,75
"Mathematics","Fall",7,229,75
"Mathematics","Fall",8,234,75
"Mathematics","Fall",9,237,75
"Mathematics","Fall",10,239,75
"Mathematics","Fall",11,243,75
"Mathematics","Fall",12,242,75
"Mathematics","Fall",0,152,80
"Mathematics","Fall",1,171,80
"Mathematics","Fall",2,186,80
"Mathematics","Fall",3,197,80
"Mathematics","Fall",4,210,80
"Mathematics","Fall",5,220,80
"Mathematics","Fall",6,224,80
"Mathematics","Fall",7,232,80
"Mathematics","Fall",8,237,80
"Mathematics","Fall",9,240,80
"Mathematics","Fall",10,242,80
"Mathematics","Fall",11,246,80
"Mathematics","Fall",12,246,80
"Mathematics","Fall",0,154,85
"Mathematics","Fall",1,173,85
"Mathematics","Fall",2,189,85
"Mathematics","Fall",3,200,85
"Mathematics","Fall",4,214,85
"Mathematics","Fall",5,223,85
"Mathematics","Fall",6,227,85
"Mathematics","Fall",7,235,85
"Mathematics","Fall",8,241,85
"Mathematics","Fall",9,243,85
"Mathematics","Fall",10,246,85
"Mathematics","Fall",11,250,85
"Mathematics","Fall",12,250,85
"Mathematics","Fall",0,157,90
"Mathematics","Fall",1,176,90
"Mathematics","Fall",2,193,90
"Mathematics","Fall",3,204,90
"Mathematics","Fall",4,217,90
"Mathematics","Fall",5,227,90
"Mathematics","Fall",6,231,90
"Mathematics","Fall",7,239,90
"Mathematics","Fall",8,246,90
"Mathematics","Fall",9,248,90
"Mathematics","Fall",10,251,90
"Mathematics","Fall",11,255,90
"Mathematics","Fall",12,255,90
"Mathematics","Fall",0,161,95
"Mathematics","Fall",1,181,95
"Mathematics","Fall",2,198,95
"Mathematics","Fall",3,210,95
"Mathematics","Fall",4,223,95
"Mathematics","Fall",5,233,95
"Mathematics","Fall",6,237,95
"Mathematics","Fall",7,246,95
"Mathematics","Fall",8,252,95
"Mathematics","Fall",9,254,95
"Mathematics","Fall",10,257,95
"Mathematics","Fall",11,263,95
"Mathematics","Fall",12,263,95
"Mathematics","Winter",0,130,5
"Mathematics","Winter",1,146,5
"Mathematics","Winter",2,155,5
"Mathematics","Winter",3,166,5
"Mathematics","Winter",4,176,5
"Mathematics","Winter",5,183,5
"Mathematics","Winter",6,187,5
"Mathematics","Winter",7,191,5
"Mathematics","Winter",8,194,5
"Mathematics","Winter",9,196,5
"Mathematics","Winter",10,196,5
"Mathematics","Winter",11,195,5
"Mathematics","Winter",12,194,5
"Mathematics","Winter",0,135,10
"Mathematics","Winter",1,151,10
"Mathematics","Winter",2,161,10
"Mathematics","Winter",3,172,10
"Mathematics","Winter",4,183,10
"Mathematics","Winter",5,189,10
"Mathematics","Winter",6,194,10
"Mathematics","Winter",7,197,10
"Mathematics","Winter",8,201,10
"Mathematics","Winter",9,203,10
"Mathematics","Winter",10,204,10
"Mathematics","Winter",11,203,10
"Mathematics","Winter",12,202,10
"Mathematics","Winter",0,138,15
"Mathematics","Winter",1,154,15
"Mathematics","Winter",2,165,15
"Mathematics","Winter",3,176,15
"Mathematics","Winter",4,187,15
"Mathematics","Winter",5,194,15
"Mathematics","Winter",6,198,15
"Mathematics","Winter",7,202,15
"Mathematics","Winter",8,206,15
"Mathematics","Winter",9,207,15
"Mathematics","Winter",10,208,15
"Mathematics","Winter",11,209,15
"Mathematics","Winter",12,207,15
"Mathematics","Winter",0,140,20
"Mathematics","Winter",1,157,20
"Mathematics","Winter",2,168,20
"Mathematics","Winter",3,179,20
"Mathematics","Winter",4,190,20
"Mathematics","Winter",5,197,20
"Mathematics","Winter",6,201,20
"Mathematics","Winter",7,206,20
"Mathematics","Winter",8,210,20
"Mathematics","Winter",9,211,20
"Mathematics","Winter",10,212,20
"Mathematics","Winter",11,213,20
"Mathematics","Winter",12,211,20
"Mathematics","Winter",0,142,25
"Mathematics","Winter",1,159,25
"Mathematics","Winter",2,171,25
"Mathematics","Winter",3,182,25
"Mathematics","Winter",4,193,25
"Mathematics","Winter",5,200,25
"Mathematics","Winter",6,204,25
"Mathematics","Winter",7,209,25
"Mathematics","Winter",8,213,25
"Mathematics","Winter",9,214,25
"Mathematics","Winter",10,216,25
"Mathematics","Winter",11,217,25
"Mathematics","Winter",12,215,25
"Mathematics","Winter",0,144,30
"Mathematics","Winter",1,161,30
"Mathematics","Winter",2,173,30
"Mathematics","Winter",3,184,30
"Mathematics","Winter",4,196,30
"Mathematics","Winter",5,203,30
"Mathematics","Winter",6,207,30
"Mathematics","Winter",7,211,30
"Mathematics","Winter",8,216,30
"Mathematics","Winter",9,217,30
"Mathematics","Winter",10,219,30
"Mathematics","Winter",11,220,30
"Mathematics","Winter",12,218,30
"Mathematics","Winter",0,146,35
"Mathematics","Winter",1,163,35
"Mathematics","Winter",2,175,35
"Mathematics","Winter",3,186,35
"Mathematics","Winter",4,198,35
"Mathematics","Winter",5,205,35
"Mathematics","Winter",6,209,35
"Mathematics","Winter",7,214,35
"Mathematics","Winter",8,219,35
"Mathematics","Winter",9,220,35
"Mathematics","Winter",10,222,35
"Mathematics","Winter",11,223,35
"Mathematics","Winter",12,221,35
"Mathematics","Winter",0,147,40
"Mathematics","Winter",1,165,40
"Mathematics","Winter",2,177,40
"Mathematics","Winter",3,189,40
"Mathematics","Winter",4,200,40
"Mathematics","Winter",5,207,40
"Mathematics","Winter",6,212,40
"Mathematics","Winter",7,216,40
"Mathematics","Winter",8,221,40
"Mathematics","Winter",9,222,40
"Mathematics","Winter",10,224,40
"Mathematics","Winter",11,226,40
"Mathematics","Winter",12,224,40
"Mathematics","Winter",0,149,45
"Mathematics","Winter",1,167,45
"Mathematics","Winter",2,179,45
"Mathematics","Winter",3,191,45
"Mathematics","Winter",4,202,45
"Mathematics","Winter",5,210,45
"Mathematics","Winter",6,214,45
"Mathematics","Winter",7,219,45
"Mathematics","Winter",8,224,45
"Mathematics","Winter",9,225,45
"Mathematics","Winter",10,227,45
"Mathematics","Winter",11,229,45
"Mathematics","Winter",12,227,45
"Mathematics","Winter",0,151,50
"Mathematics","Winter",1,168,50
"Mathematics","Winter",2,181,50
"Mathematics","Winter",3,193,50
"Mathematics","Winter",4,204,50
"Mathematics","Winter",5,212,50
"Mathematics","Winter",6,216,50
"Mathematics","Winter",7,221,50
"Mathematics","Winter",8,226,50
"Mathematics","Winter",9,227,50
"Mathematics","Winter",10,229,50
"Mathematics","Winter",11,231,50
"Mathematics","Winter",12,230,50
"Mathematics","Winter",0,152,55
"Mathematics","Winter",1,170,55
"Mathematics","Winter",2,183,55
"Mathematics","Winter",3,195,55
"Mathematics","Winter",4,207,55
"Mathematics","Winter",5,214,55
"Mathematics","Winter",6,218,55
"Mathematics","Winter",7,223,55
"Mathematics","Winter",8,228,55
"Mathematics","Winter",9,230,55
"Mathematics","Winter",10,232,55
"Mathematics","Winter",11,234,55
"Mathematics","Winter",12,233,55
"Mathematics","Winter",0,154,60
"Mathematics","Winter",1,172,60
"Mathematics","Winter",2,185,60
"Mathematics","Winter",3,197,60
"Mathematics","Winter",4,209,60
"Mathematics","Winter",5,216,60
"Mathematics","Winter",6,220,60
"Mathematics","Winter",7,226,60
"Mathematics","Winter",8,231,60
"Mathematics","Winter",9,232,60
"Mathematics","Winter",10,235,60
"Mathematics","Winter",11,237,60
"Mathematics","Winter",12,235,60
"Mathematics","Winter",0,155,65
"Mathematics","Winter",1,174,65
"Mathematics","Winter",2,187,65
"Mathematics","Winter",3,199,65
"Mathematics","Winter",4,211,65
"Mathematics","Winter",5,219,65
"Mathematics","Winter",6,223,65
"Mathematics","Winter",7,228,65
"Mathematics","Winter",8,233,65
"Mathematics","Winter",9,235,65
"Mathematics","Winter",10,237,65
"Mathematics","Winter",11,240,65
"Mathematics","Winter",12,238,65
"Mathematics","Winter",0,157,70
"Mathematics","Winter",1,176,70
"Mathematics","Winter",2,189,70
"Mathematics","Winter",3,201,70
"Mathematics","Winter",4,213,70
"Mathematics","Winter",5,221,70
"Mathematics","Winter",6,225,70
"Mathematics","Winter",7,231,70
"Mathematics","Winter",8,236,70
"Mathematics","Winter",9,237,70
"Mathematics","Winter",10,240,70
"Mathematics","Winter",11,243,70
"Mathematics","Winter",12,241,70
"Mathematics","Winter",0,159,75
"Mathematics","Winter",1,178,75
"Mathematics","Winter",2,192,75
"Mathematics","Winter",3,204,75
"Mathematics","Winter",4,216,75
"Mathematics","Winter",5,224,75
"Mathematics","Winter",6,228,75
"Mathematics","Winter",7,233,75
"Mathematics","Winter",8,239,75
"Mathematics","Winter",9,240,75
"Mathematics","Winter",10,243,75
"Mathematics","Winter",11,246,75
"Mathematics","Winter",12,245,75
"Mathematics","Winter",0,161,80
"Mathematics","Winter",1,180,80
"Mathematics","Winter",2,194,80
"Mathematics","Winter",3,206,80
"Mathematics","Winter",4,219,80
"Mathematics","Winter",5,226,80
