"NormType","SubjectBid","Grade","CoeffX","Index","x1","x2","x3","x4"
2020,2,5,1,"2_5_1",50.4870288,-1.2089911,-0.0946403,-0.0298041
2020,2,5,2,"2_5_2",-1.2089911,2.7383651,0.033188,-0.057033
2020,2,5,3,"2_5_3",-0.0946403,0.033188,0.0051569,0.0003658
2020,2,5,4,"2_5_4",-0.0298041,-0.057033,0.0003658,0.005642
2020,2,6,1,"2_6_1",51.1431079,-1.9212941,-0.1074438,-0.0569405
2020,2,6,2,"2_6_2",-1.9212941,2.5812958,0.0367428,-0.0201665
2020,2,6,3,"2_6_3",-0.1074438,0.0367428,0.0040775,-9.56e-05
2020,2,6,4,"2_6_4",-0.0569405,-0.0201665,-9.56e-05,0.0037195
2020,2,7,1,"2_7_1",52.7540448,-2.5988036,-0.0828473,-0.0545001
2020,2,7,2,"2_7_2",-2.5988036,1.9756043,0.0385872,-0.0409249
2020,2,7,3,"2_7_3",-0.0828473,0.0385872,0.0040443,-0.0013814
2020,2,7,4,"2_7_4",-0.0545001,-0.0409249,-0.0013814,0.0041276
2020,2,8,1,"2_8_1",61.9494095,1.3572907,-0.1106149,-0.1054931
2020,2,8,2,"2_8_2",1.3572907,2.6228775,-0.0005407,-0.0715953
2020,2,8,3,"2_8_3",-0.1106149,-0.0005407,0.0053861,0.0019893
2020,2,8,4,"2_8_4",-0.1054931,-0.0715953,0.0019893,0.0065335
2020,2,9,1,"2_9_1",91.0153208,-9.329642,-0.1564658,-0.0726106
2020,2,9,2,"2_9_2",-9.329642,3.1633043,0.0562357,-0.0280535
2020,2,9,3,"2_9_3",-0.1564658,0.0562357,0.0052704,-0.0025936
2020,2,9,4,"2_9_4",-0.0726106,-0.0280535,-0.0025936,0.0047052
2020,2,10,1,"2_10_1",72.3472757,-1.6484363,-0.1038853,-0.0600944
2020,2,10,2,"2_10_2",-1.6484363,2.3520502,0.0179163,-0.0426621
2020,2,10,3,"2_10_3",-0.1038853,0.0179163,0.0036128,0.0001096
2020,2,10,4,"2_10_4",-0.0600944,-0.0426621,0.0001096,0.0053484
2020,2,11,1,"2_11_1",66.5191059,-1.6769675,-0.0434058,-0.1227282
2020,2,11,2,"2_11_2",-1.6769675,2.6251125,0.0295131,-0.0504581
2020,2,11,3,"2_11_3",-0.0434058,0.0295131,0.0061062,0.0010476
2020,2,11,4,"2_11_4",-0.1227282,-0.0504581,0.0010476,0.0059408
2020,2,12,1,"2_12_1",86.6844048,17.1925709,0,NA
2020,2,12,2,"2_12_2",17.1925709,66.11524,0,NA
2020,2,12,3,"2_12_3",0,0,0,NA
2020,3,2,1,"3_2_1",42.883935,-3.3747188,-0.0043318,-0.0962824
2020,3,2,2,"3_2_2",-3.3747188,5.0899962,0.1321266,-0.1302124
2020,3,2,3,"3_2_3",-0.0043318,0.1321266,0.0105934,-0.0085216
2020,3,2,4,"3_2_4",-0.0962824,-0.1302124,-0.0085216,0.0123137
2020,3,3,1,"3_3_1",41.5944329,-2.8629235,-0.0528431,-0.0214474
2020,3,3,2,"3_3_2",-2.8629235,3.2771471,0.0604266,-0.059611
2020,3,3,3,"3_3_3",-0.0528431,0.0604266,0.0049386,-0.00187
2020,3,3,4,"3_3_4",-0.0214474,-0.059611,-0.00187,0.0065259
2020,3,4,1,"3_4_1",44.8555516,-2.8821854,-0.1031464,-0.0213773
