"measurementscale","fallwinterspring","grade","RIT","school_percentile"
"Mathematics","Fall",0,126.9,1
"Mathematics","Fall",1,146.4,1
"Mathematics","Fall",2,161.6,1
"Mathematics","Fall",3,174.6,1
"Mathematics","Fall",4,184,1
"Mathematics","Fall",5,192.1,1
"Mathematics","Fall",6,196.6,1
"Mathematics","Fall",7,200.1,1
"Mathematics","Fall",8,202.3,1
"Mathematics","Fall",9,203.2,1
"Mathematics","Fall",10,205.2,1
"Mathematics","Fall",11,207.4,1
"Mathematics","Fall",12,207.1,1
"Mathematics","Fall",0,128.4,2
"Mathematics","Fall",1,148,2
"Mathematics","Fall",2,163.1,2
"Mathematics","Fall",3,176.2,2
"Mathematics","Fall",4,185.9,2
"Mathematics","Fall",5,194.1,2
"Mathematics","Fall",6,198.7,2
"Mathematics","Fall",7,202.5,2
"Mathematics","Fall",8,205,2
"Mathematics","Fall",9,206,2
"Mathematics","Fall",10,208,2
"Mathematics","Fall",11,210.3,2
"Mathematics","Fall",12,210.1,2
"Mathematics","Fall",0,129.4,3
"Mathematics","Fall",1,149,3
"Mathematics","Fall",2,164.1,3
"Mathematics","Fall",3,177.3,3
"Mathematics","Fall",4,187,3
"Mathematics","Fall",5,195.3,3
"Mathematics","Fall",6,200.1,3
"Mathematics","Fall",7,204,3
"Mathematics","Fall",8,206.7,3
"Mathematics","Fall",9,207.7,3
"Mathematics","Fall",10,209.8,3
"Mathematics","Fall",11,212.1,3
"Mathematics","Fall",12,212.1,3
"Mathematics","Fall",0,130.1,4
"Mathematics","Fall",1,149.8,4
"Mathematics","Fall",2,164.9,4
"Mathematics","Fall",3,178,4
"Mathematics","Fall",4,187.9,4
"Mathematics","Fall",5,196.3,4
"Mathematics","Fall",6,201.1,4
"Mathematics","Fall",7,205.1,4
"Mathematics","Fall",8,207.9,4
"Mathematics","Fall",9,209,4
"Mathematics","Fall",10,211.1,4
"Mathematics","Fall",11,213.4,4
"Mathematics","Fall",12,213.5,4
"Mathematics","Fall",0,130.6,5
"Mathematics","Fall",1,150.4,5
"Mathematics","Fall",2,165.5,5
"Mathematics","Fall",3,178.7,5
"Mathematics","Fall",4,188.6,5
"Mathematics","Fall",5,197.1,5
"Mathematics","Fall",6,201.9,5
"Mathematics","Fall",7,206,5
"Mathematics","Fall",8,209,5
"Mathematics","Fall",9,210,5
"Mathematics","Fall",10,212.2,5
"Mathematics","Fall",11,214.5,5
"Mathematics","Fall",12,214.7,5
"Mathematics","Fall",0,131.1,6
"Mathematics","Fall",1,150.9,6
"Mathematics","Fall",2,166,6
"Mathematics","Fall",3,179.2,6
"Mathematics","Fall",4,189.2,6
"Mathematics","Fall",5,197.7,6
"Mathematics","Fall",6,202.6,6
"Mathematics","Fall",7,206.8,6
"Mathematics","Fall",8,209.8,6
"Mathematics","Fall",9,210.9,6
"Mathematics","Fall",10,213.1,6
"Mathematics","Fall",11,215.5,6
"Mathematics","Fall",12,215.7,6
"Mathematics","Fall",0,131.6,7
"Mathematics","Fall",1,151.4,7
"Mathematics","Fall",2,166.5,7
"Mathematics","Fall",3,179.7,7
"Mathematics","Fall",4,189.7,7
"Mathematics","Fall",5,198.3,7
"Mathematics","Fall",6,203.2,7
"Mathematics","Fall",7,207.5,7
"Mathematics","Fall",8,210.6,7
"Mathematics","Fall",9,211.7,7
"Mathematics","Fall",10,214,7
"Mathematics","Fall",11,216.3,7
"Mathematics","Fall",12,216.6,7
"Mathematics","Fall",0,131.9,8
"Mathematics","Fall",1,151.8,8
"Mathematics","Fall",2,166.9,8
"Mathematics","Fall",3,180.1,8
"Mathematics","Fall",4,190.2,8
"Mathematics","Fall",5,198.8,8
"Mathematics","Fall",6,203.8,8
"Mathematics","Fall",7,208.1,8
"Mathematics","Fall",8,211.3,8
"Mathematics","Fall",9,212.4,8
"Mathematics","Fall",10,214.7,8
"Mathematics","Fall",11,217.1,8
"Mathematics","Fall",12,217.4,8
"Mathematics","Fall",0,132.3,9
"Mathematics","Fall",1,152.2,9
"Mathematics","Fall",2,167.3,9
"Mathematics","Fall",3,180.5,9
"Mathematics","Fall",4,190.6,9
"Mathematics","Fall",5,199.3,9
"Mathematics","Fall",6,204.3,9
"Mathematics","Fall",7,208.6,9
"Mathematics","Fall",8,211.9,9
"Mathematics","Fall",9,213.1,9
"Mathematics","Fall",10,215.3,9
"Mathematics","Fall",11,217.7,9
"Mathematics","Fall",12,218.1,9
"Mathematics","Fall",0,132.6,10
"Mathematics","Fall",1,152.5,10
"Mathematics","Fall",2,167.6,10
"Mathematics","Fall",3,180.8,10
"Mathematics","Fall",4,191,10
"Mathematics","Fall",5,199.7,10
"Mathematics","Fall",6,204.7,10
